n,input_signal,filtered_signal,
137,-0.5989908576011658,1.0072755813598633,
138,-1.6271885633468628,1.0287668704986572,
139,-1.4248340129852295,1.025700569152832,
140,-0.3825347423553467,0.9983500242233276,
141,0.054656267166137695,0.947810173034668,
142,-0.7562268972396851,0.8753913044929504,
143,-1.829066276550293,0.7824296355247498,
144,-1.8127696514129639,0.6707244515419006,
145,-0.7240266799926758,0.5429878830909729,
146,0.07372385263442993,0.40266725420951843,
147,-0.3807793855667114,0.25329065322875977,
148,-1.4150041341781616,0.09808453172445297,
149,-1.5874192714691162,-0.05973980575799942,
150,-0.5399166345596313,-0.2165064662694931,
151,0.5395945310592651,-0.3681206703186035,
152,0.43761199712753296,-0.510696530342102,
153,-0.5318993330001831,-0.641064465045929,
154,-0.934709906578064,-0.7566168904304504,
155,-0.06098577380180359,-0.8547865748405457,
156,1.1594245433807373,-0.9329187273979187,
157,1.345503568649292,-0.9887816905975342,
158,0.43278178572654724,-1.0211280584335327,
159,-0.24820345640182495,-1.0296411514282227,
160,0.3173668384552002,-1.014374017715454,
161,1.5230231285095215,-0.9754241704940796,
162,1.9164587259292603,-0.9132649898529053,
163,1.060664176940918,-0.8293025493621826,
164,0.09312015771865845,-0.7259105443954468,
165,0.2652670741081238,-0.6058593392372131,
166,1.3367722034454346,-0.4718118906021118,
167,1.8841497898101807,-0.32646235823631287,
168,1.1285178661346436,-0.1730543076992035,
169,-0.06340616941452026,-0.015523850917816162,
170,-0.2887764573097229,0.14202181994915009,
171,0.5942119359970093,0.2959229648113251,
172,1.2880027294158936,0.4430025517940521,
173,0.7242908477783203,0.5800790786743164,
174,-0.5610175728797913,0.7036923766136169,
175,-1.1110504865646362,0.8104930520057678,
176,-0.41269537806510925,0.897895097732544,
177,0.4495503306388855,0.9642350077629089,
178,0.1894589066505432,1.0083125829696655,
179,-1.0262839794158936,1.0289596319198608,
180,-1.7881581783294678,1.0252376794815063,
181,-1.2486580610275269,0.9970424771308899,
182,-0.20678657293319702,0.945351779460907,
183,-0.08021247386932373,0.8717979192733765,
184,-1.0846166610717773,0.7780924439430237,
185,-1.9553945064544678,0.666006326675415,
186,-1.5700345039367676,0.5378796458244324,
187,-0.38816922903060913,0.39694225788116455,
188,0.13709181547164917,0.24695363640785217,
189,-0.5777050852775574,0.09153900295495987,
190,-1.4999668598175049,-0.06602885574102402,
191,-1.308629035949707,-0.22242167592048645,
192,-0.09240150451660156,-0.3738570213317871,
193,0.7603746652603149,-0.5163273811340332,
194,0.3389763832092285,-0.6462735533714294,
195,-0.6254112720489502,-0.7609413266181946,
196,-0.7023954391479492,-0.8580653667449951,
197,0.397813618183136,-0.9353728294372559,
198,1.4481298923492432,-0.990626871585846,
199,1.274625539779663,-1.0222194194793701,
200,0.25876733660697937,-1.0296076536178589,
201,-0.1558414101600647,-1.0130701065063477,
202,0.6810991168022156,-0.973120927810669,
203,1.789272665977478,-0.9103363752365112,
204,1.8135665655136108,-0.8258047103881836,
205,0.7609778642654419,-0.7215973138809204,
206,-0.00897979736328125,-0.6006085872650146,
207,0.4708305597305298,-0.4659155011177063,
208,1.5350940227508545,-0.3204015791416168,
209,1.740540623664856,-0.16705025732517242,
210,0.7198521494865417,-0.009429577738046646,
211,-0.34481143951416016,0.14834660291671753,
212,-0.23545941710472107,0.30224594473838806,
213,0.742336630821228,0.44882988929748535,
214,1.1554151773452759,0.5851108431816101,
215,0.2861260771751404,0.7080371975898743,
216,-0.942581832408905,0.814375102519989,
217,-1.1466877460479736,0.9012293219566345,
218,-0.2525375187397003,0.9666216969490051,
219,0.41315001249313354,1.009459137916565,
220,-0.1701943278312683,1.0289913415908813,
221,-1.4036951065063477,1.0244996547698975,
222,-1.8338830471038818,0.9956483840942383,
223,-1.0145102739334106,0.9430581331253052,
224,-0.07679593563079834,0.8683639764785767,
225,-0.27587634325027466,0.7736644148826599,
226,-1.3794399499893188,0.6610293984413147,
227,-1.9649338722229004,0.5326501131057739,
228,-1.2452871799468994,0.3913690745830536,
229,-0.07935631275177002,0.2408357411623001,
230,0.12839651107788086,0.08499445766210556,
231,-0.7721741795539856,-0.07253201305866241,
232,-1.4870426654815674,-0.2284807562828064,
233,-0.9414421319961548,-0.37946397066116333,
234,0.3371898829936981,-0.5216973423957825,
235,0.8921682834625244,-0.6513935327529907,
236,0.20205725729465485,-0.7654258012771606,
237,-0.6546473503112793,-0.8615044355392456,
238,-0.38786569237709045,-0.9377326369285583,
239,0.8442603945732117,-0.9921897649765015,
240,1.6340925693511963,-1.023144006729126,
241,1.1263043880462646,-1.02967369556427,
