n,input_fft_mag,output_freq,
268,646.1838989257812,2617.1875,
269,646.371826171875,2626.953125,
270,824.851806640625,2636.71875,
271,528.104248046875,2646.484375,
272,691.3715209960938,2656.25,
273,593.8975830078125,2666.015625,
274,655.9967041015625,2675.78125,
275,586.5113525390625,2685.546875,
276,557.492431640625,2695.3125,
277,599.3184204101562,2705.078125,
278,514.909423828125,2714.84375,
279,532.448974609375,2724.609375,
280,541.5972900390625,2734.375,
281,360.0096435546875,2744.140625,
282,611.2769775390625,2753.90625,
283,524.112060546875,2763.671875,
284,530.2734985351562,2773.4375,
285,632.9578247070312,2783.203125,
286,391.515625,2792.96875,
287,529.377685546875,2802.734375,
288,923.519775390625,2812.5,
289,2517.4423828125,2822.265625,
290,5924.89208984375,2832.03125,
291,1741.35986328125,2841.796875,
292,1265.16064453125,2851.5625,
293,968.4151000976562,2861.328125,
294,734.6632690429688,2871.09375,
295,895.619140625,2880.859375,
296,685.7274169921875,2890.625,
297,550.5282592773438,2900.390625,
298,526.5057373046875,2910.15625,
299,771.2606811523438,2919.921875,
300,548.50830078125,2929.6875,
301,717.0951538085938,2939.453125,
302,571.173828125,2949.21875,
303,585.1383666992188,2958.984375,
304,511.3533020019531,2968.75,
305,574.0562133789062,2978.515625,
306,517.6849365234375,2988.28125,
307,489.67803955078125,2998.046875,
308,534.1538696289062,3007.8125,
309,519.9791870117188,3017.578125,
310,657.2809448242188,3027.34375,
311,580.1141357421875,3037.109375,
312,650.1475219726562,3046.875,
313,580.5856323242188,3056.640625,
314,477.3848571777344,3066.40625,
315,725.386474609375,3076.171875,
316,559.1915283203125,3085.9375,
317,545.4411010742188,3095.703125,
318,424.31390380859375,3105.46875,
319,544.6419677734375,3115.234375,
320,521.8120727539062,3125.0,
321,660.6414794921875,3134.765625,
322,406.3627624511719,3144.53125,
323,393.4512023925781,3154.296875,
324,490.5343933105469,3164.0625,
325,468.926513671875,3173.828125,
326,448.85711669921875,3183.59375,
327,502.3082275390625,3193.359375,
328,488.0176696777344,3203.125,
329,569.494873046875,3212.890625,
330,400.0783996582031,3222.65625,
331,361.033203125,3232.421875,
332,409.51953125,3242.1875,
333,461.8018493652344,3251.953125,
334,501.9696350097656,3261.71875,
335,419.31475830078125,3271.484375,
336,435.3658447265625,3281.25,
337,384.30108642578125,3291.015625,
338,341.8941650390625,3300.78125,
339,499.35723876953125,3310.546875,
340,463.6929016113281,3320.3125,
341,493.0550231933594,3330.078125,
342,381.7991638183594,3339.84375,
343,408.825439453125,3349.609375,
344,540.3182373046875,3359.375,
345,381.6548156738281,3369.140625,
346,393.8377380371094,3378.90625,
347,416.32086181640625,3388.671875,
348,266.8825378417969,3398.4375,
349,442.23101806640625,3408.203125,
350,493.6568603515625,3417.96875,
351,564.3746337890625,3427.734375,
352,364.0836181640625,3437.5,
353,322.4276123046875,3447.265625,
354,436.5315856933594,3457.03125,
355,450.0552673339844,3466.796875,
356,391.2149963378906,3476.5625,
357,528.0926513671875,3486.328125,
358,520.8563842773438,3496.09375,
359,846.2191772460938,3505.859375,
360,2030.57470703125,3515.625,
361,4421.259765625,3525.390625,
362,1176.791015625,3535.15625,
363,726.4393310546875,3544.921875,
364,708.6751708984375,3554.6875,
365,464.3864440917969,3564.453125,
366,474.3457946777344,3574.21875,
367,460.9505615234375,3583.984375,
368,399.2287902832031,3593.75,
369,421.7764587402344,3603.515625,
370,416.9186706542969,3613.28125,
371,506.1718444824219,3623.046875,
372,455.7271728515625,3632.8125,
373,463.1777038574219,3642.578125,
374,323.2913818359375,3652.34375,
375,332.3930969238281,3662.109375,
376,370.4542541503906,3671.875,
377,321.9865417480469,3681.640625,
378,362.8789978027344,3691.40625,
379,458.9118347167969,3701.171875,
380,407.9967346191406,3710.9375,
381,248.73590087890625,3720.703125,
382,180.40652465820312,3730.46875,
383,345.64886474609375,3740.234375,
384,379.29266357421875,3750.0,
385,338.5269470214844,3759.765625,
386,441.3091735839844,3769.53125,
387,499.76708984375,3779.296875,
388,290.11126708984375,3789.0625,
389,341.79022216796875,3798.828125,
390,435.1118469238281,3808.59375,
391,329.41998291015625,3818.359375,
392,339.22052001953125,3828.125,
393,341.12774658203125,3837.890625,
394,395.56768798828125,3847.65625,
395,214.45657348632812,3857.421875,
396,304.8316955566406,3867.1875,
397,337.14959716796875,3876.953125,
398,286.2884216308594,3886.71875,
399,527.8812255859375,3896.484375,
400,377.9530334472656,3906.25,
401,259.9978332519531,3916.015625,
402,380.2398376464844,3925.78125,
403,293.6971740722656,3935.546875,
404,348.510009765625,3945.3125,
405,219.0670623779297,3955.078125,
406,299.0647888183594,3964.84375,
407,404.67120361328125,3974.609375,
408,401.3079528808594,3984.375,
409,394.1348876953125,3994.140625,
410,199.234375,4003.90625,
411,178.62522888183594,4013.671875,
412,813.2454833984375,4023.4375,
413,389.6485290527344,4033.203125,
414,243.05560302734375,4042.96875,
415,331.31805419921875,4052.734375,
416,340.11083984375,4062.5,
417,278.9203796386719,4072.265625,
418,232.72683715820312,4082.03125,
419,237.89004516601562,4091.796875,
420,230.27822875976562,4101.5625,
421,368.7965393066406,4111.328125,
422,237.7621612548828,4121.09375,
