n,adc_buffer
517,-0.7199889421463013
518,-0.6055110692977905
519,-0.4767955243587494
520,-0.3368898630142212
521,-0.1890650987625122
522,-0.03680722042918205
523,0.11631644517183304
524,0.2667069733142853
525,0.4108354449272156
526,0.545324981212616
527,0.666987419128418
528,0.7730104327201843
529,0.8608477115631104
530,0.9285038113594055
531,0.9743210077285767
532,0.9972904324531555
533,0.996801495552063
534,0.9729413390159607
535,0.9261950254440308
536,0.8577286005020142
537,0.769088864326477
538,0.6624158024787903
539,0.5401663780212402
540,0.4052467942237854
541,0.2607892155647278
542,0.1102222129702568
543,-0.042937442660331726
544,-0.19508443772792816
545,-0.34264862537384033
546,-0.4821837842464447
547,-0.6103713512420654
548,-0.7242470979690552
549,-0.821083664894104
550,-0.8986718058586121
551,-0.9551231861114502
552,-0.9891765117645264
553,-0.999962329864502
554,-0.9873014092445374
555,-0.951418936252594
556,-0.89322429895401
557,-0.8140209913253784
558,-0.7157308459281921
559,-0.6006051898002625
560,-0.47140201926231384
561,-0.33110570907592773
562,-0.18303988873958588
563,-0.030674226582050323
564,0.12241067737340927
565,0.27261045575141907
566,0.41642406582832336
567,0.5504475831985474
568,0.6715589761734009
569,0.7768738269805908
570,0.8639698028564453
571,0.9307472705841064
572,0.9757021069526672
573,0.997704267501831
574,0.9963126182556152
575,0.9714870452880859
576,0.9238817691802979
577,0.8545418977737427
578,0.7651672959327698
579,0.6577943563461304
580,0.5350026488304138
581,0.3996221721172333
582,0.2548656463623047
583,0.104119673371315
584,-0.0490676686167717
585,-0.20110085606575012
586,-0.3484130799770355
587,-0.48754099011421204
588,-0.6152315735816956
589,-0.7284506559371948
590,-0.8245893120765686
591,-0.9013292789459229
592,-0.9569385647773743
593,-0.990039587020874
594,-0.9999247193336487
595,-0.9862895011901855
596,-0.9495299458503723
597,-0.890434741973877
598,-0.8104572296142578
599,-0.7114188075065613
600,-0.5956993103027344
601,-0.46597301959991455
602,-0.3253159523010254
603,-0.17700088024139404
604,-0.024541230872273445
605,0.1284956932067871
606,0.27851393818855286
607,0.4219868779182434
608,0.5555702447891235
609,0.6760799884796143
610,0.7807372212409973
611,0.8670269250869751
612,0.9329906105995178
613,0.9770097732543945
614,0.9981181025505066
615,0.9957486391067505
616,0.9700312614440918
617,0.9214990139007568
618,0.8513583540916443
619,0.7611880302429199
620,0.6531728506088257
621,0.5297936201095581
622,0.39399752020835876
623,0.2489287108182907
624,0.0980171412229538
625,-0.05519420653581619
626,-0.20711137354373932
627,-0.35415124893188477
628,-0.49289295077323914
629,-0.62004554271698
630,-0.7326542735099792
631,-0.828029453754425
632,-0.9039867520332336
633,-0.9586837291717529
634,-0.9909026622772217
635,-0.9998117685317993
636,-0.9852776527404785
637,-0.9475696086883545
638,-0.8876423239707947
639,-0.8068323731422424
640,-0.7071067690849304
641,-0.5907485485076904
642,-0.46054401993751526
643,-0.31950169801712036
644,-0.1709618866443634
645,-0.01840638555586338
646,0.13458071649074554
647,0.28440219163894653
648,0.4275550842285156
649,0.5606510639190674
650,0.6806010007858276
651,0.7845418453216553
652,0.8700869679450989
653,0.9351658821105957
654,0.978317379951477
655,0.9984567761421204
656,0.9951847195625305
657,0.9685038328170776
658,0.9191138744354248
659,0.8481043577194214
660,0.7572088241577148
661,0.6485022306442261
662,0.5245896577835083
663,0.38833773136138916
664,0.24298018217086792
665,0.09190722554922104
666,-0.06132074072957039
667,-0.21310630440711975
668,-0.3598950505256653
669,-0.498218297958374
670,-0.6248595118522644
671,-0.7368026971817017
672,-0.8314695954322815
673,-0.9065786600112915
674,-0.9604305028915405
675,-0.9916911125183105
676,-0.99969881772995
677,-0.9841915369033813
678,-0.9456073045730591
679,-0.8847804069519043
680,-0.803207516670227
681,-0.7027415037155151
682,-0.5857978463172913
683,-0.4550750255584717
684,-0.3136817514896393
685,-0.16491001844406128
686,-0.012271540239453316
687,0.14065559208393097
688,0.2902846932411194
689,0.43308568000793457
690,0.5657318234443665
691,0.6850707530975342
692,0.7883464097976685
693,0.8730785250663757
694,0.9373390078544617
695,0.9795513153076172
696,0.9987954497337341
697,0.9945458173751831
698,0.9669764637947083
699,0.9166618585586548
700,0.8448535799980164
701,0.7531726360321045
702,0.6438315510749817
703,0.5193462371826172
704,0.3826834261417389
705,0.2370191514492035
706,0.08579730987548828
707,-0.0674426481127739
708,-0.21910123527050018
709,-0.3656061291694641
710,-0.5035383701324463
711,-0.6296170949935913
712,-0.7409511208534241
713,-0.8348471522331238
714,-0.909168004989624
715,-0.9621032476425171
716,-0.9924795031547546
717,-0.9995105862617493
718,-0.983105480670929
719,-0.9435756802558899
720,-0.8819212317466736
721,-0.7995222210884094
722,-0.6983762383460999
723,-0.5808030366897583
724,-0.4496113359928131
725,-0.3078438639640808
726,-0.15885813534259796
727,-0.006135770119726658
728,0.1467304676771164
729,0.29614531993865967
730,0.43861624598503113
731,0.5707700252532959
732,0.6895405650138855
733,0.7920916676521301
734,0.8760700821876526
735,0.9394415616989136
736,0.9807852506637573
737,0.9990589022636414
738,0.9939069747924805
739,0.9653762578964233
740,0.91420978307724
741,0.8415391445159912
742,0.7491442561149597
743,0.6391124129295349
744,0.5141027569770813
745,0.3770003020763397
746,0.23105810582637787
747,0.07968093454837799
748,-0.0735645592212677
749,-0.22507967054843903
750,-0.37131717801094055
751,-0.5088205337524414
752,-0.6343932747840881
753,-0.7450437545776367
754,-0.8382247090339661
755,-0.9116889238357544
756,-0.9637760519981384
757,-0.9931932687759399
758,-0.9993223547935486
759,-0.9819453954696655
760,-0.9415440559387207
761,-0.8789956569671631
762,-0.7958369255065918
763,-0.6939584016799927
764,-0.5758081674575806
765,-0.4441137909889221
766,-0.30200594663619995
767,-0.15279430150985718
768,-1.1983926015091129e-05
769,0.15279430150985718
770,0.30200594663619995
771,0.4441137909889221
772,0.5758081674575806
773,0.693949818611145
774,0.7958369255065918
775,0.8789956569671631
776,0.9415440559387207
777,0.9819453954696655
778,0.9993223547935486
779,0.9931932687759399
780,0.9637760519981384
781,0.9116889238357544
782,0.8382247090339661
783,0.7450437545776367
784,0.6343932747840881
785,0.5088205337524414
786,0.37131717801094055
787,0.22507967054843903
788,0.0735645592212677
