n,input_signal,filtered_signal,output_freq,input_fft_mag,filtered_fft_mag,
1722,1.2346835136413574,-0.18082863092422485,0.6232486963272095,0.458499550819397,5584.0,
1723,-0.7840855121612549,1.387621521949768,0.17100048065185547,0.4582931101322174,5592.0,
1724,1.232837438583374,-0.19445085525512695,0.6212908029556274,0.45805174112319946,5600.0,
1725,-0.7772142887115479,1.40696120262146,0.17221605777740479,0.4577766954898834,5608.0,
1726,1.2311217784881592,-0.20822495222091675,0.6193457841873169,0.4574665129184723,5616.0,
1727,-0.7706592082977295,1.4275050163269043,0.17346811294555664,0.4571208953857422,5624.0,
1728,1.2292287349700928,-0.2220449447631836,0.6174077391624451,0.4567412734031677,5632.0,
1729,-0.7627320289611816,1.4493815898895264,0.17474400997161865,0.4563237726688385,5640.0,
1730,1.2276225090026855,-0.23574700951576233,0.6154805421829224,0.45587512850761414,5648.0,
1731,-0.7565577030181885,1.472609281539917,0.17604762315750122,0.4553911089897156,5656.0,
1732,1.2255440950393677,-0.24943840503692627,0.6135804057121277,0.4548757076263428,5664.0,
1733,-0.7496528625488281,1.4971908330917358,0.17737805843353271,0.4543239176273346,5672.0,
1734,1.2244226932525635,-0.26291584968566895,0.6116973161697388,0.453748494386673,5680.0,
1735,-0.7419812679290771,1.52323579788208,0.1787264347076416,0.45314401388168335,5688.0,
1736,1.2219429016113281,-0.2761346399784088,0.6098384857177734,0.4525039494037628,5696.0,
1737,-0.7349057197570801,1.5507192611694336,0.1801055669784546,0.4518495500087738,5704.0,
1738,1.2195565700531006,-0.2890443205833435,0.6080116033554077,0.45117515325546265,5712.0,
1739,-0.7285774946212769,1.5797362327575684,0.1814945936203003,0.45048490166664124,5720.0,
1740,1.2188578844070435,-0.30141428112983704,0.6061831712722778,0.4497711658477783,5728.0,
1741,-0.7223050594329834,1.6103005409240723,0.18291598558425903,0.44904637336730957,5736.0,
1742,1.2173717021942139,-0.313312828540802,0.604394793510437,0.4483087360858917,5744.0,
1743,-0.7150764465332031,1.6424789428710938,0.1843433976173401,0.44758161902427673,5752.0,
1744,1.2151474952697754,-0.32465362548828125,0.6026360392570496,0.4468476176261902,5760.0,
1745,-0.7076958417892456,1.6762020587921143,0.18579310178756714,0.4461039900779724,5768.0,
1746,1.2134385108947754,-0.33516377210617065,0.6009020805358887,0.44536706805229187,5776.0,
1747,-0.7012907266616821,1.7115135192871094,0.187252938747406,0.44464099407196045,5784.0,
1748,1.2110989093780518,-0.34498003125190735,0.5992116332054138,0.4439297616481781,5792.0,
1749,-0.6943073272705078,1.7485424280166626,0.18872779607772827,0.4432280659675598,5800.0,
1750,1.2089061737060547,-0.3537026047706604,0.5975341796875,0.4425453841686249,5808.0,
1751,-0.688549280166626,1.786980152130127,0.1902141571044922,0.44188132882118225,5816.0,
1752,1.2071812152862549,-0.36154982447624207,0.595897376537323,0.4412443935871124,5824.0,
1753,-0.6813364028930664,1.827419400215149,0.1917089819908142,0.4406239092350006,5832.0,
1754,1.2047028541564941,-0.3680592179298401,0.594294548034668,0.44004026055336,5840.0,
1755,-0.6766183376312256,1.8688576221466064,0.19320762157440186,0.4394885003566742,5848.0,
1756,1.2048697471618652,-0.3731628656387329,0.5927137732505798,0.4389584958553314,5856.0,
1757,-0.6702724695205688,1.9125428199768066,0.19470912218093872,0.43847179412841797,5864.0,
1758,1.2028928995132446,-0.37709206342697144,0.5911760330200195,0.43801942467689514,5872.0,
1759,-0.6630396842956543,1.9575490951538086,0.19620954990386963,0.4375983774662018,5880.0,
1760,1.201639175415039,-0.37951207160949707,0.5896630883216858,0.4372144937515259,5888.0,
1761,-0.6557861566543579,2.004326343536377,0.19770550727844238,0.43686607480049133,5896.0,
1762,1.1988105773925781,-0.3802887201309204,0.5881876945495605,0.43655282258987427,5904.0,
1763,-0.6503875255584717,2.052306652069092,0.19921588897705078,0.4362853467464447,5912.0,
1764,1.1972310543060303,-0.37933558225631714,0.5867411494255066,0.43605953454971313,5920.0,
1765,-0.6438720226287842,2.1018335819244385,0.2007083296775818,0.43585193157196045,5928.0,
1766,1.1965277194976807,-0.37631264328956604,0.585320234298706,0.4356902241706848,5936.0,
1767,-0.6376781463623047,2.1530096530914307,0.2021937370300293,0.4355714023113251,5944.0,
1768,1.1941661834716797,-0.3715960383415222,0.5839338302612305,0.43546006083488464,5952.0,
1769,-0.6313908100128174,2.205326557159424,0.20367199182510376,0.4353898763656616,5960.0,
1770,1.19256591796875,-0.3646198809146881,0.5825666785240173,0.43534785509109497,5968.0,
1771,-0.6248173713684082,2.259056568145752,0.2051410675048828,0.435335636138916,5976.0,
1772,1.190455436706543,-0.35542571544647217,0.5812481641769409,0.43534067273139954,5984.0,
1773,-0.6185674667358398,2.314016342163086,0.20659613609313965,0.43536606431007385,5992.0,
1774,1.187509536743164,-0.34433695673942566,0.5799457430839539,0.4353976249694824,6000.0,
1775,-0.6114463806152344,2.370303153991699,0.20804119110107422,0.43545836210250854,6008.0,
1776,1.1887645721435547,-0.32914450764656067,0.5786737203598022,0.4355320930480957,6016.0,
1777,-0.6091060638427734,2.426377773284912,0.20947253704071045,0.4355967342853546,6024.0,
1778,1.1868963241577148,-0.312821626663208,0.577425479888916,0.4356713593006134,6032.0,
1779,-0.602203369140625,2.4846105575561523,0.21087932586669922,0.4357586205005646,6040.0,
1780,1.1846461296081543,-0.2936862111091614,0.5761922597885132,0.4358353614807129,6048.0,
1781,-0.595667839050293,2.5435824394226074,0.21228647232055664,0.435907781124115,6056.0,
1782,1.1831278800964355,-0.2716980576515198,0.5749820470809937,0.4359695017337799,6064.0,
