n,input_signal,output_freq,output_fft_mag
220,4.875752347288653e-05,1760.0,4.0205010009231046e-05
221,0.00011127603647764772,1768.0,8.614919352112338e-05
222,4.016306047560647e-05,1776.0,7.519314385717735e-05
223,-4.2322535591665655e-06,1784.0,5.707580203306861e-05
224,-7.88882898632437e-05,1792.0,2.5900468244799413e-05
225,-1.5674950191169046e-05,1800.0,6.617112376261503e-05
226,9.393143409397453e-05,1808.0,3.550837573129684e-05
227,0.0001639405672904104,1816.0,1.0338902029616293e-05
228,-0.0001644752628635615,1824.0,8.811709994915873e-05
229,3.6339828511700034e-05,1832.0,3.14579920086544e-05
230,-0.0001674758386798203,1840.0,8.090066694421694e-05
231,-9.50899557210505e-05,1848.0,5.5370721383951604e-05
232,8.017771324375644e-05,1856.0,4.611120675690472e-05
233,-0.00014615195686928928,1864.0,0.0001369398960378021
234,1.2602556125784758e-05,1872.0,5.1247050578240305e-05
235,-1.962632086360827e-05,1880.0,4.6395081881200895e-05
236,7.33167034923099e-05,1888.0,9.34330964810215e-05
237,-4.402931153890677e-05,1896.0,0.00012035139661747962
238,0.00012334177154116333,1904.0,9.54486895352602e-05
239,-2.1806925360579044e-05,1912.0,5.6852764828363433e-05
240,3.654002648545429e-05,1920.0,0.00012867180339526385
241,-2.3810815036995336e-05,1928.0,0.00016036581655498594
242,5.7849028962664306e-05,1936.0,0.0003117343003395945
243,5.744820737163536e-05,1944.0,7.923162775114179e-05
244,2.7354253688827157e-05,1952.0,0.00017016330093611032
245,-8.36616163724102e-06,1960.0,0.00041631911881268024
246,4.378571975394152e-05,1968.0,0.0004258273693267256
247,4.2482388380449265e-06,1976.0,0.0014201883459463716
248,0.00010083703091368079,1984.0,0.0007580824312753975
249,7.157769869081676e-05,1992.0,0.0008251167018897831
250,-5.0224727601744235e-05,2000.0,0.0009047566563822329
251,-3.7478272133739665e-05,2008.0,0.0001392015692545101
252,9.907424100674689e-05,2016.0,0.00040075290598906577
253,9.810184565139934e-06,2024.0,0.00016628495359327644
254,9.231166040990502e-05,2032.0,0.00018391518096905202
255,5.8077032008441165e-05,2040.0,0.0002240647008875385
256,-3.6139645089861006e-05,2048.0,9.654610039433464e-05
257,7.982274837559089e-06,2056.0,8.641684689791873e-05
258,8.870725287124515e-05,2064.0,0.00011539793194970116
259,3.5574026696849614e-05,2072.0,0.00013589179434347898
260,4.718607306131162e-05,2080.0,0.0001424998918082565
261,1.7336926248390228e-05,2088.0,0.00012204088125145063
262,2.8841375751653686e-05,2096.0,6.382082210620865e-05
263,3.421880683163181e-05,2104.0,1.5615723896189593e-05
264,9.626794781070203e-05,2112.0,8.362935477634892e-05
265,2.7472575311549008e-05,2120.0,6.0549475165316835e-05
266,9.10269227460958e-06,2128.0,5.7143508456647396e-05
267,4.329275179770775e-05,2136.0,0.00011819243809441105
268,6.900708103785291e-05,2144.0,3.385029049240984e-05
269,-2.5270408514188603e-05,2152.0,4.2735362512758e-05
270,8.747781976126134e-05,2160.0,2.6877372874878347e-05
271,2.2572497982764617e-05,2168.0,7.519852078985423e-05
272,4.086425542482175e-05,2176.0,7.845714571885765e-05
273,7.484236994059756e-05,2184.0,6.583314097952098e-05
274,3.668128192657605e-05,2192.0,9.345533908344805e-05
275,3.6110577639192343e-07,2200.0,2.7711730581359006e-05
276,7.2310795076191425e-06,2208.0,0.00012232948211021721
277,5.9797483118018135e-05,2216.0,0.00021021410066168755
278,9.011717338580638e-05,2224.0,0.00030373342451639473
279,1.6598634829279035e-05,2232.0,0.0001125742492149584
280,9.311680332757533e-05,2240.0,0.00013735881657339633
281,-1.9721755961654708e-06,2248.0,8.704092761036009e-05
282,7.940217619761825e-05,2256.0,0.00014475743228103966
283,0.00013706556637771428,2264.0,8.534371590940282e-05
284,4.801557952305302e-05,2272.0,8.6034502601251e-05
285,2.1642354113282636e-05,2280.0,2.0064346244907938e-05
286,9.40410973271355e-05,2288.0,1.2827811588067561e-05
287,0.00017078701057471335,2296.0,7.958753121783957e-05
288,-1.4245147212932352e-05,2304.0,3.66369858966209e-05
289,6.463164754677564e-05,2312.0,6.269697041716427e-05
290,0.00013946866965852678,2320.0,7.032392750261351e-05
291,-8.502434502588585e-05,2328.0,7.332737004617229e-05
